id,val,metric
0,0.9988572001457214,pearson_pos
1,0.9988745450973511,pearson_pos
2,0.800000011920929,spearman_pos
3,0.9040902853012085,pearson_pos
4,0.901651918888092,pearson_pos
5,0.800000011920929,spearman_pos
6,0.6000000238418579,spearman_pos
7,0.20000000298023224,spearman_pos
8,0.20000000298023224,spearman_pos
9,0.9109315276145935,pearson_pos
10,0.8214773535728455,pearson_pos
11,0.3162277638912201,spearman_pos
12,-0.4000000059604645,spearman_neg
13,0.20000000298023224,spearman_pos
14,0.800000011920929,spearman_pos
15,-0.4000000059604645,spearman_neg
16,-0.800000011920929,spearman_neg
17,-0.800000011920929,spearman_neg
18,-0.800000011920929,spearman_neg
19,-1.0,spearman_neg
20,-0.4000000059604645,spearman_neg
21,0.9586332440376282,pearson_pos
22,-0.6000000238418579,spearman_neg
23,0.4000000059604645,spearman_pos
24,0.20000000298023224,spearman_pos
25,0.8546468019485474,pearson_pos
26,0.9612372517585754,pearson_pos
27,-0.800000011920929,spearman_neg
28,-0.20000000298023224,spearman_neg
29,-0.4000000059604645,spearman_neg
30,-0.4000000059604645,spearman_neg
31,0.8813271522521973,pearson_pos
32,0.9597287178039551,pearson_pos
