id,val,metric
0,0.9935189485549927,pearson_pos
1,0.9428571462631226,spearman_pos
2,0.8765468597412109,pearson_pos
3,0.7142857313156128,spearman_pos
4,0.02857142873108387,spearman_pos
5,0.08571428805589676,spearman_pos
6,0.6571428775787354,spearman_pos
7,0.37142857909202576,spearman_pos
8,0.08571428805589676,spearman_pos
9,-0.37142857909202576,spearman_neg
10,-0.08571428805589676,spearman_neg
11,-0.5428571701049805,spearman_neg
12,0.02857142873108387,spearman_pos
13,0.48571428656578064,spearman_pos
14,0.7142857313156128,spearman_pos
15,0.37142857909202576,spearman_pos
16,0.8523878455162048,pearson_pos
17,0.8802241086959839,pearson_pos
18,0.6000000238418579,spearman_pos
19,0.847298264503479,pearson_pos
20,0.9546616673469543,pearson_pos
